SeqNo,Date,UTC Time,int_hor_pos(m),src_hor_pos(m),mrk_hor_pos(m),int_ver_pos(m),src_ver_pos(m),mrk_ver_pos(m),int_mas_trq(Nm),src_mas_trq(Nm),int_sla_trq(Nm),src_sla_trq(Nm),int_ver_trq(Nm),src_ver_trq(Nm),xray_active(-),error_code(-),rt_ts(ms)
1441,2026-03-19,16:37:32.256,5.229614,5.230019,5.232634,0.438538,0.439598,0.433884,6.424307,-2.980136,5.217816,-2.392358,13.588867,10.957031,251.687500,-1.000000,1.999390
1442,2026-03-19,16:37:32.258,5.229614,5.230034,5.232897,0.438396,0.439472,0.433618,6.558362,-3.536978,5.362182,-2.846081,13.662109,10.908203,252.500000,-1.000000,1.999455
1443,2026-03-19,16:37:32.260,5.229645,5.230049,5.233144,0.438255,0.439342,0.433342,6.991461,-4.330994,5.774658,-3.506042,13.642578,10.825195,254.437500,-1.000000,1.999768
1444,2026-03-19,16:37:32.262,5.229645,5.230057,5.233299,0.438110,0.439209,0.433130,7.414248,-5.063138,6.114950,-4.083508,13.613281,10.727539,253.312500,-1.000000,2.000304
1445,2026-03-19,16:37:32.264,5.229675,5.230057,5.233420,0.437962,0.439075,0.432887,7.620486,-5.558108,6.238693,-4.454736,13.632813,10.664063,251.000000,-1.000000,1.998968
1446,2026-03-19,16:37:32.266,5.229706,5.230064,5.233681,0.437805,0.438942,0.432671,7.795788,-5.939648,6.413995,-4.846588,13.613281,10.581055,252.437500,-1.000000,1.999740
1447,2026-03-19,16:37:32.268,5.229706,5.230072,5.233833,0.437653,0.438808,0.432349,8.105145,-6.630545,6.713040,-5.393118,13.613281,10.512695,251.812500,-1.000000,1.999351
1448,2026-03-19,16:37:32.270,5.229736,5.230072,5.234032,0.437496,0.438667,0.432136,8.259823,-7.125515,6.774911,-5.805593,13.515625,10.341797,249.812500,-1.000000,2.000382
1449,2026-03-19,16:37:32.272,5.229767,5.230072,5.234258,0.437336,0.438530,0.431851,8.507309,-7.682357,7.043020,-6.300564,13.500977,10.229492,251.125000,-1.000000,1.999826
1450,2026-03-19,16:37:32.274,5.229828,5.230087,5.234431,0.437176,0.438389,0.431644,8.713547,-8.270135,7.228634,-6.826471,13.393555,10.097656,252.250000,-1.000000,1.998798
1451,2026-03-19,16:37:32.276,5.229828,5.230103,5.234542,0.437012,0.438240,0.431402,8.857913,-8.816666,7.311130,-7.259570,13.349609,10.029297,251.500000,-1.000000,2.019374
1452,2026-03-19,16:37:32.278,5.229889,5.230118,5.234806,0.436848,0.438095,0.431157,8.826977,-9.208517,7.269882,-7.548303,13.271484,9.902344,252.250000,-1.000000,1.984264
1453,2026-03-19,16:37:32.280,5.229919,5.230133,5.235035,0.436680,0.437943,0.430926,9.084774,-9.806606,7.589550,-8.084521,13.203125,9.790039,254.625000,-1.000000,1.994545
1454,2026-03-19,16:37:32.282,5.229950,5.230164,5.235322,0.436512,0.437790,0.430646,9.291012,-10.301578,7.744229,-8.507309,13.139648,9.677734,253.125000,-1.000000,2.001168
1455,2026-03-19,16:37:32.284,5.230011,5.230194,5.235630,0.436340,0.437634,0.430492,9.651928,-10.868731,8.002026,-8.950720,12.998047,9.536133,250.937500,-1.000000,1.997672
1456,2026-03-19,16:37:32.286,5.230072,5.230232,5.235948,0.436169,0.437477,0.430314,10.074716,-11.466821,8.321694,-9.456002,12.954102,9.511719,252.562500,-1.000000,2.009671
1457,2026-03-19,16:37:32.288,5.230133,5.230278,5.236316,0.435993,0.437309,0.430051,10.487191,-12.095846,8.569180,-9.899414,12.915039,9.531250,251.500000,-1.000000,1.995137
1458,2026-03-19,16:37:32.290,5.230194,5.230316,5.236589,0.435814,0.437141,0.429872,10.992474,-12.776431,8.950720,-10.425320,12.807617,9.448242,249.500000,-1.000000,1.995630
1459,2026-03-19,16:37:32.292,5.230255,5.230370,5.236765,0.435631,0.436970,0.429662,11.363702,-13.240466,9.260077,-10.765613,12.792969,9.467773,250.562500,-1.000000,1.998482
1460,2026-03-19,16:37:32.294,5.230316,5.230423,5.237036,0.435448,0.436790,0.429452,11.549315,-13.549823,9.414755,-11.002786,12.792969,9.482422,252.812500,-1.000000,2.004155
1461,2026-03-19,16:37:32.296,5.230408,5.230484,5.237299,0.435265,0.436604,0.429273,11.899920,-13.931362,9.744736,-11.332767,12.753906,9.511719,252.062500,-1.000000,2.003060
1462,2026-03-19,16:37:32.298,5.230469,5.230560,5.237661,0.435074,0.436417,0.429086,12.219588,-14.302590,10.033468,-11.631811,12.778320,9.575195,252.000000,-1.000000,1.992958
1463,2026-03-19,16:37:32.300,5.230560,5.230621,5.237999,0.434887,0.436222,0.428929,12.714560,-14.807873,10.404696,-12.147406,12.807617,9.692383,254.562500,-1.000000,1.999265
1464,2026-03-19,16:37:32.302,5.230652,5.230705,5.238259,0.434692,0.436028,0.428779,13.188907,-15.220348,10.775924,-12.518634,12.871094,9.814453,252.875000,-1.000000,2.013114
1465,2026-03-19,16:37:32.304,5.230743,5.230797,5.238533,0.434502,0.435825,0.428669,13.508574,-15.560640,11.074969,-12.786742,12.944336,9.990234,251.375000,-1.000000,1.989234
1466,2026-03-19,16:37:32.306,5.230835,5.230896,5.238858,0.434303,0.435619,0.428505,13.869491,-15.869997,11.353390,-13.044539,13.056641,10.214844,252.437500,-1.000000,1.995018
1467,2026-03-19,16:37:32.308,5.230927,5.231003,5.239185,0.434105,0.435410,0.428402,14.292278,-16.210289,11.703994,-13.281713,13.129883,10.419922,251.562500,-1.000000,2.003406
1468,2026-03-19,16:37:32.310,5.231049,5.231110,5.239608,0.433899,0.435200,0.428355,14.776937,-16.499023,12.116469,-13.529199,13.291016,10.673828,249.062500,-1.000000,1.995841
1469,2026-03-19,16:37:32.312,5.231171,5.231232,5.239909,0.433697,0.434990,0.428244,15.447210,-16.973370,12.611441,-13.921050,13.540039,10.971680,251.125000,-1.000000,2.001524
1470,2026-03-19,16:37:32.314,5.231293,5.231354,5.240173,0.433491,0.434776,0.428156,15.859686,-17.220856,13.003292,-14.127288,13.750000,11.215820,252.375000,-1.000000,2.005091
1471,2026-03-19,16:37:32.316,5.231415,5.231491,5.240427,0.433281,0.434563,0.428058,16.241226,-17.406469,13.292026,-14.240719,13.979492,11.464844,251.625000,-1.000000,1.993937
1472,2026-03-19,16:37:32.318,5.231537,5.231628,5.240795,0.433071,0.434349,0.427970,16.560894,-17.488964,13.549823,-14.312902,14.257813,11.723633,252.250000,-1.000000,2.004050
1473,2026-03-19,16:37:32.320,5.231689,5.231781,5.241218,0.432861,0.434135,0.427875,17.055864,-17.767385,13.941674,-14.539763,14.531250,11.977539,254.875000,-1.000000,2.002017
1474,2026-03-19,16:37:32.322,5.231842,5.231934,5.241424,0.432648,0.433918,0.427807,17.664267,-18.097366,14.446957,-14.807873,14.819336,12.231445,252.687500,-1.000000,1.991429
1475,2026-03-19,16:37:32.324,5.231995,5.232101,5.241715,0.432438,0.433701,0.427725,17.808632,-18.035494,14.642882,-14.807873,15.122070,12.495117,251.250000,-1.000000,2.008464
1476,2026-03-19,16:37:32.326,5.232147,5.232269,5.242060,0.432224,0.433487,0.427647,18.128302,-18.179861,14.869744,-14.890368,15.410156,12.758789,252.062500,-1.000000,1.990701
1477,2026-03-19,16:37:32.328,5.232300,5.232452,5.242399,0.432014,0.433273,0.427528,18.509842,-18.272667,15.148165,-14.983175,15.703125,12.988281,251.687500,-1.000000,2.001115
1478,2026-03-19,16:37:32.330,5.232483,5.232635,5.242622,0.431801,0.433060,0.427460,18.819199,-18.437658,15.416274,-15.096605,15.947266,13.188477,249.437500,-1.000000,1.998167
1479,2026-03-19,16:37:32.332,5.232666,5.232834,5.242930,0.431587,0.432850,0.427317,18.984188,-18.313915,15.509081,-15.003798,16.215820,13.422852,250.937500,-1.000000,1.998836
1480,2026-03-19,16:37:32.334,5.232849,5.233032,5.243279,0.431377,0.432644,0.427225,19.138866,-18.324226,15.663759,-15.003798,16.411133,13.583984,251.687500,-1.000000,2.001535
1481,2026-03-19,16:37:32.336,5.233032,5.233238,5.243732,0.431164,0.432434,0.427147,19.365728,-18.355164,15.849374,-15.034735,16.611328,13.735352,252.062500,-1.000000,2.000194
1482,2026-03-19,16:37:32.338,5.233246,5.233452,5.244006,0.430950,0.432232,0.426994,19.798828,-18.561401,16.158730,-15.220348,16.875000,13.911133,251.875000,-1.000000,1.999156
1483,2026-03-19,16:37:32.340,5.233459,5.233673,5.244260,0.430740,0.432034,0.426959,19.922569,-18.489218,16.251537,-15.127542,17.045898,13.994141,254.750000,-1.000000,1.996897
1484,2026-03-19,16:37:32.342,5.233673,5.233902,5.244677,0.430538,0.431835,0.426847,19.912258,-18.334539,16.323721,-15.055358,17.329102,14.169922,252.750000,-1.000000,1.999683
1485,2026-03-19,16:37:32.344,5.233887,5.234138,5.244961,0.430332,0.431641,0.426804,20.149431,-18.489218,16.509335,-15.137854,17.514648,14.228516,251.187500,-1.000000,2.000422
1486,2026-03-19,16:37:32.346,5.234131,5.234375,5.245222,0.430138,0.431450,0.426740,20.159744,-18.386099,16.499023,-15.034735,17.734375,14.370117,252.437500,-1.000000,1.998358
1487,2026-03-19,16:37:32.348,5.234375,5.234627,5.245631,0.429939,0.431267,0.426599,20.077248,-18.138613,16.437151,-14.900680,17.929688,14.462891,251.875000,-1.000000,2.002639
1488,2026-03-19,16:37:32.350,5.234619,5.234879,5.246068,0.429749,0.431087,0.426566,20.128807,-18.221107,16.509335,-14.952239,18.007813,14.501953,249.437500,-1.000000,1.995470
1489,2026-03-19,16:37:32.352,5.234894,5.235138,5.246265,0.429562,0.430912,0.426490,20.221615,-18.344851,16.540270,-15.034735,18.154297,14.560547,251.250000,-1.000000,2.003639
1490,2026-03-19,16:37:32.354,5.235168,5.235413,5.246573,0.429379,0.430744,0.426408,19.881323,-18.056118,16.261848,-14.787249,18.227539,14.624023,252.500000,-1.000000,1.997604
1491,2026-03-19,16:37:32.356,5.235443,5.235687,5.246905,0.429195,0.430584,0.426299,19.623526,-17.891129,16.096859,-14.673819,18.291016,14.638672,251.500000,-1.000000,1.999550
1492,2026-03-19,16:37:32.358,5.235687,5.235962,5.247305,0.429016,0.430428,0.426140,19.334793,-17.705513,15.859686,-14.529451,18.305664,14.604492,252.250000,-1.000000,1.995978
1493,2026-03-19,16:37:32.360,5.235992,5.236259,5.247451,0.428844,0.430279,0.426089,19.180115,-17.684891,15.705008,-14.488204,18.291016,14.516602,255.250000,-1.000000,2.005813
1494,2026-03-19,16:37:32.362,5.236298,5.236549,5.247820,0.428677,0.430138,0.425954,18.602648,-17.158983,15.240973,-14.086040,18.315430,14.458008,252.500000,-1.000000,1.995269
1495,2026-03-19,16:37:32.364,5.236603,5.236855,5.248173,0.428513,0.429996,0.425820,18.252045,-16.942434,14.941927,-13.910739,18.310547,14.340820,251.125000,-1.000000,1.999709
1496,2026-03-19,16:37:32.366,5.236908,5.237160,5.248627,0.428352,0.429863,0.425720,17.880816,-16.694948,14.653194,-13.694189,18.266602,14.165039,252.125000,-1.000000,1.999713
1497,2026-03-19,16:37:32.368,5.237213,5.237473,5.248986,0.428200,0.429726,0.425570,17.643642,-16.622765,14.457269,-13.601382,18.208008,14.008789,251.625000,-1.000000,1.998137
1498,2026-03-19,16:37:32.370,5.237518,5.237785,5.249341,0.428055,0.429600,0.425489,17.323975,-16.385592,14.189159,-13.446704,18.115234,13.842773,248.562500,-1.000000,2.000695
1499,2026-03-19,16:37:32.372,5.237885,5.238106,5.249596,0.427914,0.429470,0.425306,17.024929,-16.241226,13.951986,-13.302337,18.046875,13.720703,251.500000,-1.000000,1.998649
1500,2026-03-19,16:37:32.374,5.238220,5.238434,5.250063,0.427776,0.429344,0.425189,16.550583,-15.849374,13.539511,-12.972357,17.851563,13.540039,252.375000,-1.000000,1.999291
1501,2026-03-19,16:37:32.376,5.238556,5.238770,5.250436,0.427643,0.429218,0.425079,16.354656,-15.880309,13.374520,-12.992980,17.709961,13.427734,251.437500,-1.000000,2.002284
1502,2026-03-19,16:37:32.378,5.238892,5.239105,5.250995,0.427513,0.429096,0.424982,16.034988,-15.735943,13.137347,-12.838302,17.553711,13.315430,252.187500,-1.000000,1.998996
1503,2026-03-19,16:37:32.380,5.239227,5.239456,5.251425,0.427387,0.428974,0.424849,16.148418,-15.931869,13.178595,-13.044539,17.382813,13.276367,254.687500,-1.000000,1.999765
1504,2026-03-19,16:37:32.382,5.239594,5.239807,5.251839,0.427265,0.428856,0.424841,16.004051,-15.962805,13.116723,-13.075476,17.197266,13.178711,252.312500,-1.000000,1.996594
1505,2026-03-19,16:37:32.384,5.239960,5.240173,5.252387,0.427147,0.428738,0.424800,15.931869,-16.065924,13.054852,-13.137347,17.153320,13.237305,251.187500,-1.000000,2.001561
1506,2026-03-19,16:37:32.386,5.240326,5.240540,5.252872,0.427036,0.428623,0.424706,16.138107,-16.334032,13.188907,-13.395144,17.055664,13.271484,252.062500,-1.000000,2.004256
1507,2026-03-19,16:37:32.388,5.240692,5.240913,5.253393,0.426926,0.428513,0.424592,16.292786,-16.550583,13.322961,-13.591070,16.933594,13.242188,251.562500,-1.000000,1.994553
1508,2026-03-19,16:37:32.390,5.241089,5.241295,5.253898,0.426823,0.428406,0.424528,16.581518,-16.870251,13.539511,-13.848867,16.787109,13.193359,248.875000,-1.000000,1.999132
1509,2026-03-19,16:37:32.392,5.241486,5.241684,5.254470,0.426720,0.428295,0.424466,16.983681,-17.251791,13.859179,-14.158224,16.684570,13.188477,251.375000,-1.000000,2.000125
1510,2026-03-19,16:37:32.394,5.241882,5.242081,5.254934,0.426624,0.428188,0.424420,17.499275,-17.788010,14.251031,-14.560388,16.586914,13.188477,252.250000,-1.000000,1.998953
1511,2026-03-19,16:37:32.396,5.242279,5.242485,5.255368,0.426529,0.428085,0.424295,17.839569,-18.190172,14.591323,-14.900680,16.499023,13.217773,251.562500,-1.000000,2.000459
1512,2026-03-19,16:37:32.398,5.242706,5.242889,5.255937,0.426437,0.427982,0.424270,18.262356,-18.540777,14.910992,-15.189413,16.337891,13.164063,251.812500,-1.000000,2.003156
1513,2026-03-19,16:37:32.400,5.243134,5.243317,5.256570,0.426346,0.427883,0.424185,18.881069,-19.097618,15.416274,-15.674071,16.289063,13.183594,254.937500,-1.000000,1.994923
1514,2026-03-19,16:37:32.402,5.243561,5.243752,5.257200,0.426258,0.427780,0.424124,19.602901,-19.840075,16.034988,-16.272161,16.186523,13.159180,252.375000,-1.000000,2.005677
1515,2026-03-19,16:37:32.404,5.243988,5.244194,5.257630,0.426170,0.427681,0.424063,20.376293,-20.685650,16.715572,-16.880562,16.108398,13.164063,250.875000,-1.000000,1.994651
1516,2026-03-19,16:37:32.406,5.244446,5.244652,5.258091,0.426083,0.427582,0.424050,20.871264,-21.067190,17.086800,-17.231167,16.044922,13.173828,252.125000,-1.000000,1.999376
1517,2026-03-19,16:37:32.408,5.244904,5.245117,5.258698,0.425995,0.427483,0.423962,21.366234,-21.479666,17.530212,-17.592083,16.044922,13.193359,251.687500,-1.000000,1.998286
1518,2026-03-19,16:37:32.410,5.245361,5.245583,5.259088,0.425907,0.427383,0.423952,22.129314,-22.119001,18.128302,-18.097366,16.005859,13.188477,248.250000,-1.000000,1.998933
1519,2026-03-19,16:37:32.412,5.245819,5.246071,5.259654,0.425823,0.427288,0.423898,22.438671,-22.263369,18.396410,-18.231421,16.035156,13.232422,251.437500,-1.000000,1.998170
1520,2026-03-19,16:37:32.414,5.246307,5.246567,5.260135,0.425743,0.427193,0.423889,22.974890,-22.686155,18.839821,-18.561401,16.064453,13.266602,252.375000,-1.000000,1.999452
1521,2026-03-19,16:37:32.416,5.246796,5.247070,5.260613,0.425659,0.427097,0.423839,22.809898,-22.304617,18.664520,-18.262356,16.108398,13.295898,251.750000,-1.000000,2.001654
1522,2026-03-19,16:37:32.418,5.247314,5.247581,5.261210,0.425583,0.427006,0.423802,22.562414,-21.850893,18.458282,-17.860191,16.142578,13.349609,252.187500,-1.000000,1.997371
1523,2026-03-19,16:37:32.420,5.247833,5.248108,5.261789,0.425503,0.426918,0.423804,22.387112,-21.603407,18.375786,-17.643642,16.142578,13.378906,255.562500,-1.000000,1.999311
1524,2026-03-19,16:37:32.422,5.248352,5.248634,5.262339,0.425423,0.426830,0.423791,22.088066,-21.190931,18.169548,-17.354910,16.225586,13.442383,252.250000,-1.000000,1.999187
1525,2026-03-19,16:37:32.424,5.248871,5.249176,5.262952,0.425343,0.426750,0.423819,21.758085,-20.685650,17.849880,-16.983681,16.298828,13.500977,251.437500,-1.000000,2.000004
1526,2026-03-19,16:37:32.426,5.249420,5.249725,5.263690,0.425262,0.426670,0.423813,21.551847,-20.345358,17.592083,-16.674324,16.401367,13.588867,252.562500,-1.000000,2.001157
1527,2026-03-19,16:37:32.428,5.249969,5.250290,5.264219,0.425182,0.426594,0.423784,21.510601,-20.262863,17.612707,-16.571205,16.489258,13.637695,252.125000,-1.000000,2.003181
1528,2026-03-19,16:37:32.430,5.250519,5.250854,5.264745,0.425102,0.426517,0.423720,21.190931,-19.736956,17.313662,-16.179354,16.572266,13.632813,249.250000,-1.000000,1.997142
1529,2026-03-19,16:37:32.432,5.251068,5.251434,5.265250,0.425022,0.426453,0.423708,20.819704,-19.221361,17.004305,-15.777190,16.625977,13.579102,252.187500,-1.000000,1.996855
1530,2026-03-19,16:37:32.434,5.251678,5.252014,5.265914,0.424946,0.426384,0.423648,20.365982,-18.736702,16.633078,-15.344091,16.713867,13.544922,252.937500,-1.000000,2.003715
1531,2026-03-19,16:37:32.436,5.252228,5.252602,5.266521,0.424870,0.426323,0.423588,20.139120,-18.447969,16.581518,-15.117229,16.767578,13.461914,252.250000,-1.000000,1.998934
1532,2026-03-19,16:37:32.438,5.252808,5.253204,5.267290,0.424797,0.426262,0.423543,19.736956,-18.045807,16.220602,-14.818185,16.796875,13.369141,252.312500,-1.000000,1.999356
1533,2026-03-19,16:37:32.440,5.253387,5.253799,5.267951,0.424725,0.426208,0.423490,19.788515,-17.922064,16.199978,-14.715066,16.826172,13.276367,255.375000,-1.000000,1.996570
1534,2026-03-19,16:37:32.442,5.253998,5.254402,5.268484,0.424652,0.426147,0.423445,19.582277,-17.643642,16.055611,-14.477893,16.855469,13.183594,252.812500,-1.000000,1.999416
1535,2026-03-19,16:37:32.444,5.254608,5.255005,5.269077,0.424583,0.426090,0.423386,19.283234,-17.282726,15.766878,-14.189159,16.860352,13.061523,251.562500,-1.000000,2.004301
1536,2026-03-19,16:37:32.446,5.255219,5.255623,5.269755,0.424515,0.426037,0.423378,19.107931,-17.066177,15.581264,-13.982922,16.840820,12.958984,252.500000,-1.000000,1.994844
1537,2026-03-19,16:37:32.448,5.255829,5.256248,5.270406,0.424446,0.425983,0.423309,19.056372,-17.004305,15.581264,-13.910739,16.860352,12.924805,252.250000,-1.000000,1.999977
1538,2026-03-19,16:37:32.450,5.256439,5.256874,5.271037,0.424377,0.425930,0.423274,18.953253,-16.921810,15.581264,-13.869491,16.796875,12.841797,248.687500,-1.000000,2.014775
1539,2026-03-19,16:37:32.452,5.257050,5.257507,5.271758,0.424313,0.425880,0.423256,18.777950,-16.777443,15.426586,-13.776684,16.796875,12.802734,251.875000,-1.000000,1.996152
1540,2026-03-19,16:37:32.454,5.257660,5.258148,5.272423,0.424252,0.425827,0.423269,18.860445,-16.787756,15.426586,-13.756061,16.816406,12.788086,252.562500,-1.000000,1.988658
1541,2026-03-19,16:37:32.456,5.258301,5.258789,5.273114,0.424187,0.425777,0.423201,18.881069,-16.777443,15.447210,-13.735436,16.826172,12.822266,252.062500,-1.000000,1.996209
1542,2026-03-19,16:37:32.458,5.258972,5.259430,5.273826,0.424129,0.425728,0.423137,18.963564,-16.859940,15.550329,-13.807620,16.806641,12.792969,252.312500,-1.000000,2.002272
1543,2026-03-19,16:37:32.460,5.259613,5.260071,5.274565,0.424072,0.425682,0.423100,19.159491,-17.014618,15.653448,-13.962298,16.767578,12.744141,255.375000,-1.000000,1.999863
1544,2026-03-19,16:37:32.462,5.260254,5.260727,5.275290,0.424019,0.425636,0.423059,19.262609,-17.293037,15.766878,-14.147912,16.738281,12.729492,251.875000,-1.000000,2.004364
1545,2026-03-19,16:37:32.464,5.260925,5.261383,5.275863,0.423965,0.425591,0.423016,19.303856,-17.550835,15.911245,-14.405709,16.689453,12.709961,250.937500,-1.000000,1.998474
1546,2026-03-19,16:37:32.466,5.261566,5.262054,5.276643,0.423920,0.425541,0.423034,19.200737,-17.519899,15.756567,-14.385085,16.606445,12.661133,251.750000,-1.000000,1.999036
1547,2026-03-19,16:37:32.468,5.262268,5.262726,5.277341,0.423870,0.425495,0.422964,19.386353,-17.839569,15.921556,-14.632570,16.596680,12.695313,251.500000,-1.000000,2.000132
1548,2026-03-19,16:37:32.470,5.262939,5.263397,5.278087,0.423828,0.425449,0.422952,19.541031,-18.066429,16.014364,-14.776937,16.474609,12.636719,248.000000,-1.000000,2.007693
1549,2026-03-19,16:37:32.472,5.263641,5.264076,5.278721,0.423782,0.425400,0.422927,19.736956,-18.334539,16.107170,-15.003798,16.401367,12.651367,251.812500,-1.000000,1.988357
1550,2026-03-19,16:37:32.474,5.264343,5.264771,5.279443,0.423740,0.425354,0.422861,19.788515,-18.530464,16.189667,-15.106917,16.298828,12.651367,252.437500,-1.000000,1.998882
1551,2026-03-19,16:37:32.476,5.265015,5.265465,5.280142,0.423702,0.425308,0.422771,19.809139,-18.726391,16.282473,-15.354403,16.181641,12.626953,251.375000,-1.000000,1.999245
1552,2026-03-19,16:37:32.478,5.265747,5.266167,5.280975,0.423660,0.425259,0.422743,19.757580,-18.860445,16.189667,-15.457521,16.064453,12.597656,252.062500,-1.000000,2.004553
1553,2026-03-19,16:37:32.480,5.266449,5.266876,5.281596,0.423622,0.425209,0.422765,20.015377,-19.221361,16.375280,-15.725631,15.991211,12.622070,254.875000,-1.000000,2.006574
1554,2026-03-19,16:37:32.482,5.267181,5.267593,5.282372,0.423584,0.425163,0.422748,19.778204,-19.169802,16.158730,-15.715319,15.986328,12.705078,251.625000,-1.000000,1.988837
1555,2026-03-19,16:37:32.484,5.267914,5.268311,5.283172,0.423553,0.425110,0.422760,19.912258,-19.365728,16.261848,-15.880309,15.927734,12.739258,251.000000,-1.000000,1.998167
1556,2026-03-19,16:37:32.486,5.268677,5.269043,5.284003,0.423523,0.425060,0.422750,19.932882,-19.623526,16.323721,-16.014364,15.927734,12.802734,252.312500,-1.000000,2.012198
1557,2026-03-19,16:37:32.488,5.269440,5.269791,5.285032,0.423492,0.425007,0.422733,19.881323,-19.829763,16.334032,-16.282473,15.888672,12.885742,251.687500,-1.000000,1.988727
1558,2026-03-19,16:37:32.490,5.270203,5.270538,5.285789,0.423470,0.424957,0.422780,20.159744,-20.365982,16.550583,-16.694948,15.830078,12.949219,248.812500,-1.000000,1.999117
1559,2026-03-19,16:37:32.492,5.270966,5.271301,5.286629,0.423443,0.424904,0.422814,20.046312,-20.376293,16.468086,-16.725883,15.825195,13.066406,252.125000,-1.000000,2.004774
1560,2026-03-19,16:37:32.494,5.271759,5.272064,5.287469,0.423416,0.424854,0.422832,20.170055,-20.613466,16.478399,-16.890875,15.795898,13.183594,252.750000,-1.000000,1.994427
1561,2026-03-19,16:37:32.496,5.272552,5.272842,5.288307,0.423389,0.424805,0.422818,20.293798,-20.840328,16.560894,-17.024929,15.742188,13.286133,251.687500,-1.000000,1.999815
1562,2026-03-19,16:37:32.498,5.273346,5.273636,5.289377,0.423363,0.424755,0.422809,20.221615,-21.056877,16.684637,-17.210543,15.698242,13.320313,251.812500,-1.000000,2.000250
1563,2026-03-19,16:37:32.500,5.274139,5.274429,5.290147,0.423340,0.424709,0.422809,20.551596,-21.448729,16.839315,-17.623018,15.668945,13.393555,255.875000,-1.000000,1.998797
1564,2026-03-19,16:37:32.502,5.274963,5.275238,5.291018,0.423313,0.424667,0.422816,20.427853,-21.397169,16.725883,-17.509588,15.654297,13.442383,252.437500,-1.000000,2.005914
1565,2026-03-19,16:37:32.504,5.275787,5.276062,5.291937,0.423290,0.424625,0.422803,20.520660,-21.469353,16.756821,-17.592083,15.654297,13.476563,251.750000,-1.000000,1.993761
1566,2026-03-19,16:37:32.506,5.276611,5.276886,5.292997,0.423267,0.424583,0.422838,20.726898,-21.644655,16.901186,-17.653954,15.654297,13.471680,253.062500,-1.000000,1.996464
1567,2026-03-19,16:37:32.508,5.277435,5.277725,5.294077,0.423248,0.424545,0.422781,21.067190,-22.046820,17.272415,-18.014870,15.708008,13.491211,251.875000,-1.000000,2.002551
1568,2026-03-19,16:37:32.510,5.278290,5.278564,5.295013,0.423225,0.424507,0.422799,21.376547,-22.387112,17.550835,-18.375786,15.644531,13.417969,249.125000,-1.000000,1.999648
1569,2026-03-19,16:37:32.512,5.279144,5.279427,5.295976,0.423206,0.424469,0.422803,21.572472,-22.500542,17.684891,-18.447969,15.668945,13.403320,252.437500,-1.000000,1.999343
1570,2026-03-19,16:37:32.514,5.280029,5.280296,5.296999,0.423187,0.424431,0.422808,21.881828,-22.655220,17.860191,-18.592337,15.664063,13.349609,252.687500,-1.000000,2.000209
1571,2026-03-19,16:37:32.516,5.280884,5.281174,5.297928,0.423168,0.424397,0.422802,22.366488,-22.954266,18.282980,-18.777950,15.668945,13.320313,252.125000,-1.000000,1.996462
1572,2026-03-19,16:37:32.518,5.281769,5.282066,5.298958,0.423145,0.424362,0.422749,22.479918,-23.139879,18.509842,-18.912004,15.654297,13.300781,252.562500,-1.000000,2.001914
1573,2026-03-19,16:37:32.520,5.282684,5.282959,5.299883,0.423126,0.424324,0.422774,22.799587,-23.273933,18.716080,-19.056372,15.581055,13.232422,255.937500,-1.000000,2.000838
1574,2026-03-19,16:37:32.522,5.283569,5.283867,5.300839,0.423103,0.424294,0.422812,22.995512,-23.232687,18.839821,-19.004812,15.595703,13.247070,252.187500,-1.000000,2.004573
1575,2026-03-19,16:37:32.524,5.284485,5.284782,5.301863,0.423077,0.424259,0.422799,23.294558,-23.222374,18.994499,-19.056372,15.634766,13.281250,251.437500,-1.000000,1.996772
1576,2026-03-19,16:37:32.526,5.285370,5.285706,5.302924,0.423054,0.424229,0.422837,23.696722,-23.449236,19.437912,-19.149178,15.688477,13.261719,252.187500,-1.000000,1.993561
1577,2026-03-19,16:37:32.528,5.286316,5.286652,5.304041,0.423031,0.424198,0.422800,23.923582,-23.614225,19.716331,-19.386353,15.747070,13.300781,251.812500,-1.000000,2.006831
1578,2026-03-19,16:37:32.530,5.287231,5.287598,5.305021,0.423008,0.424171,0.422808,24.408241,-23.789528,20.025688,-19.489471,15.786133,13.251953,248.562500,-1.000000,1.992912
1579,2026-03-19,16:37:32.532,5.288177,5.288551,5.305866,0.422985,0.424149,0.422748,24.676352,-23.676098,20.170055,-19.458534,15.854492,13.281250,251.500000,-1.000000,1.999696
1580,2026-03-19,16:37:32.534,5.289093,5.289520,5.306859,0.422962,0.424126,0.422752,24.882589,-23.521420,20.304110,-19.231674,15.844727,13.208008,252.000000,-1.000000,2.002360
1581,2026-03-19,16:37:32.536,5.290039,5.290489,5.307839,0.422943,0.424103,0.422672,25.068203,-23.562666,20.603155,-19.303856,15.883789,13.154297,251.500000,-1.000000,1.999545
1582,2026-03-19,16:37:32.538,5.291016,5.291466,5.309028,0.422920,0.424080,0.422636,25.191946,-23.304869,20.634090,-19.149178,15.834961,13.051758,252.000000,-1.000000,1.999101
1583,2026-03-19,16:37:32.540,5.291962,5.292450,5.310005,0.422894,0.424057,0.422599,25.655981,-23.521420,20.984694,-19.314169,15.820313,12.968750,254.375000,-1.000000,1.997291
1584,2026-03-19,16:37:32.542,5.292938,5.293449,5.311018,0.422874,0.424038,0.422583,25.955025,-23.438925,21.077501,-19.180115,15.800781,12.890625,251.687500,-1.000000,1.999826
