SeqNo,Date,UTC Time,int_hor_pos(m),src_hor_pos(m),mrk_hor_pos(m),int_ver_pos(m),src_ver_pos(m),mrk_ver_pos(m),int_mas_trq(Nm),src_mas_trq(Nm),int_sla_trq(Nm),src_sla_trq(Nm),int_ver_trq(Nm),src_ver_trq(Nm),xray_active(-),error_code(-),rt_ts(ms)
28,2026-03-19,16:37:29.430,5.172607,5.172974,5.172987,0.423965,0.425301,0.428972,0.835263,-0.195926,0.690897,-0.134055,19.892578,16.230469,254.812500,-1.000000,1.999591
29,2026-03-19,16:37:29.432,5.172607,5.172974,5.172976,0.423965,0.425301,0.429003,0.608401,-0.020624,0.536218,0.000000,19.912109,16.245117,252.000000,-1.000000,2.000411
30,2026-03-19,16:37:29.434,5.172607,5.172974,5.172852,0.423965,0.425301,0.428976,0.659961,-0.051559,0.453723,-0.010312,19.946289,16.279297,252.375000,-1.000000,2.013525
31,2026-03-19,16:37:29.436,5.172607,5.172974,5.172943,0.423965,0.425301,0.428979,0.381540,0.061871,0.299045,0.061871,19.912109,16.245117,250.500000,-1.000000,1.995915
32,2026-03-19,16:37:29.438,5.172607,5.172974,5.173038,0.423965,0.425301,0.429019,0.505283,0.020624,0.453723,0.020624,19.921875,16.240234,252.187500,-1.000000,1.988959
33,2026-03-19,16:37:29.440,5.172607,5.172974,5.172906,0.423965,0.425301,0.428986,0.598090,-0.041248,0.577466,-0.020624,19.975586,16.289063,249.312500,-1.000000,1.999215
34,2026-03-19,16:37:29.442,5.172607,5.172974,5.173014,0.423965,0.425301,0.429003,0.484659,0.072183,0.350604,0.051559,19.926758,16.250000,251.937500,-1.000000,1.999546
35,2026-03-19,16:37:29.444,5.172607,5.172974,5.172929,0.423965,0.425301,0.429003,0.567154,-0.041248,0.536218,-0.020624,19.946289,16.293945,252.375000,-1.000000,1.999194
36,2026-03-19,16:37:29.446,5.172607,5.172974,5.172956,0.423965,0.425301,0.429006,0.536218,0.051559,0.443411,0.041248,19.941406,16.274414,253.687500,-1.000000,2.000402
37,2026-03-19,16:37:29.448,5.172607,5.172974,5.173064,0.423965,0.425301,0.428982,0.494971,0.041248,0.453723,0.010312,19.941406,16.284180,252.187500,-1.000000,1.999970
38,2026-03-19,16:37:29.450,5.172607,5.172974,5.172953,0.423965,0.425301,0.429033,0.732144,-0.061871,0.587778,-0.041248,19.921875,16.269531,255.250000,-1.000000,1.999423
39,2026-03-19,16:37:29.452,5.172607,5.172974,5.172835,0.423965,0.425301,0.429013,0.567154,0.000000,0.433099,0.000000,19.980469,16.298828,252.625000,-1.000000,1.998591
40,2026-03-19,16:37:29.454,5.172607,5.172974,5.172828,0.423965,0.425301,0.429003,0.402164,0.175302,0.309357,0.113431,19.951172,16.279297,252.312500,-1.000000,2.005993
41,2026-03-19,16:37:29.456,5.172607,5.172974,5.172845,0.423965,0.425301,0.428986,0.288733,0.144366,0.288733,0.134055,19.941406,16.284180,250.812500,-1.000000,1.990087
42,2026-03-19,16:37:29.458,5.172607,5.172974,5.172778,0.423965,0.425301,0.428976,0.278421,0.144366,0.288733,0.144366,19.926758,16.264648,252.500000,-1.000000,2.000924
43,2026-03-19,16:37:29.460,5.172607,5.172974,5.172778,0.423965,0.425301,0.428982,0.237173,0.278421,0.206238,0.226862,19.912109,16.245117,249.562500,-1.000000,2.007899
44,2026-03-19,16:37:29.462,5.172607,5.172974,5.172913,0.423965,0.425301,0.429023,0.216550,0.237173,0.164990,0.216550,19.916992,16.254883,251.875000,-1.000000,1.990316
45,2026-03-19,16:37:29.464,5.172607,5.172974,5.172885,0.423965,0.425301,0.429013,0.443411,0.144366,0.412476,0.072183,19.951172,16.284180,251.437500,-1.000000,2.003669
46,2026-03-19,16:37:29.466,5.172607,5.172974,5.172906,0.423965,0.425301,0.428989,0.381540,0.113431,0.391852,0.092807,19.941406,16.269531,253.625000,-1.000000,2.004990
47,2026-03-19,16:37:29.468,5.172607,5.172974,5.173034,0.423965,0.425301,0.428942,0.484659,0.123743,0.371228,0.051559,19.931641,16.254883,252.000000,-1.000000,1.994016
48,2026-03-19,16:37:29.470,5.172607,5.172974,5.172923,0.423965,0.425301,0.429003,0.680585,-0.041248,0.536218,-0.020624,19.868164,16.230469,254.687500,-1.000000,2.002974
49,2026-03-19,16:37:29.472,5.172607,5.172974,5.173014,0.423965,0.425301,0.428959,0.422787,0.000000,0.360916,0.020624,19.936523,16.269531,252.062500,-1.000000,1.992303
50,2026-03-19,16:37:29.474,5.172607,5.172974,5.172855,0.423965,0.425301,0.428962,0.659961,-0.092807,0.525906,-0.030936,19.907227,16.225586,252.312500,-1.000000,1.998690
51,2026-03-19,16:37:29.476,5.172607,5.172974,5.172848,0.423965,0.425301,0.428999,0.350604,0.082495,0.309357,0.082495,19.892578,16.235352,250.812500,-1.000000,2.005202
52,2026-03-19,16:37:29.478,5.172607,5.172974,5.172818,0.423965,0.425301,0.428986,0.412476,0.164990,0.340292,0.134055,19.931641,16.254883,252.375000,-1.000000,1.998843
53,2026-03-19,16:37:29.480,5.172607,5.172974,5.172788,0.423965,0.425301,0.428979,0.371228,0.226862,0.268109,0.175302,19.931641,16.250000,249.312500,-1.000000,1.996007
54,2026-03-19,16:37:29.482,5.172607,5.172974,5.172767,0.423965,0.425301,0.429016,0.299045,0.226862,0.247485,0.216550,19.921875,16.230469,252.187500,-1.000000,1.998974
55,2026-03-19,16:37:29.484,5.172607,5.172974,5.172814,0.423965,0.425301,0.429030,0.216550,0.391852,0.237173,0.278421,19.956055,16.279297,252.375000,-1.000000,2.000164
56,2026-03-19,16:37:29.486,5.172607,5.172974,5.172649,0.423965,0.425301,0.429003,0.350604,0.247485,0.288733,0.237173,19.956055,16.303711,253.375000,-1.000000,2.003170
57,2026-03-19,16:37:29.488,5.172607,5.172974,5.172778,0.423965,0.425301,0.428982,0.092807,0.546530,0.082495,0.464035,19.936523,16.264648,252.000000,-1.000000,1.996013
58,2026-03-19,16:37:29.490,5.172607,5.172974,5.172760,0.423965,0.425301,0.429050,0.299045,0.381540,0.206238,0.278421,19.926758,16.259766,254.687500,-1.000000,1.999991
59,2026-03-19,16:37:29.492,5.172607,5.172966,5.172730,0.423965,0.425301,0.429006,0.226862,0.381540,0.185614,0.319669,19.995117,16.328125,252.375000,-1.000000,2.000423
60,2026-03-19,16:37:29.494,5.172607,5.172966,5.172697,0.423965,0.425301,0.429016,0.164990,0.474347,0.154678,0.371228,19.941406,16.274414,252.437500,-1.000000,1.998478
61,2026-03-19,16:37:29.496,5.172607,5.172966,5.172710,0.423965,0.425301,0.429013,0.092807,0.422787,0.051559,0.402164,19.956055,16.269531,251.125000,-1.000000,1.999905
62,2026-03-19,16:37:29.498,5.172607,5.172966,5.172703,0.423965,0.425301,0.429016,0.175302,0.494971,0.072183,0.360916,19.946289,16.274414,252.312500,-1.000000,2.000251
63,2026-03-19,16:37:29.500,5.172607,5.172966,5.172727,0.423965,0.425301,0.429003,0.092807,0.474347,0.092807,0.350604,19.936523,16.293945,249.625000,-1.000000,2.000301
64,2026-03-19,16:37:29.502,5.172607,5.172966,5.172720,0.423965,0.425301,0.429003,0.103119,0.402164,0.154678,0.350604,19.946289,16.279297,252.500000,-1.000000,1.998382
65,2026-03-19,16:37:29.504,5.172607,5.172966,5.172737,0.423965,0.425301,0.429016,0.164990,0.391852,0.134055,0.340292,19.931641,16.284180,252.062500,-1.000000,2.003768
66,2026-03-19,16:37:29.506,5.172607,5.172966,5.172666,0.423965,0.425301,0.429009,0.175302,0.402164,0.206238,0.340292,19.941406,16.284180,253.875000,-1.000000,1.995831
67,2026-03-19,16:37:29.508,5.172607,5.172966,5.172764,0.423965,0.425301,0.429016,0.134055,0.494971,0.092807,0.443411,19.936523,16.269531,252.062500,-1.000000,1.999500
68,2026-03-19,16:37:29.510,5.172607,5.172966,5.172619,0.423965,0.425301,0.428989,0.309357,0.299045,0.237173,0.319669,19.941406,16.269531,254.000000,-1.000000,1.998811
69,2026-03-19,16:37:29.512,5.172607,5.172966,5.172693,0.423965,0.425301,0.429006,0.072183,0.505283,0.030936,0.474347,19.916992,16.254883,252.500000,-1.000000,2.001577
70,2026-03-19,16:37:29.514,5.172607,5.172966,5.172636,0.423965,0.425301,0.429026,0.195926,0.464035,0.164990,0.340292,19.941406,16.289063,252.562500,-1.000000,1.998744
71,2026-03-19,16:37:29.516,5.172607,5.172966,5.172639,0.423965,0.425301,0.429019,0.061871,0.525906,0.061871,0.464035,19.956055,16.293945,250.250000,-1.000000,2.000416
72,2026-03-19,16:37:29.518,5.172607,5.172966,5.172882,0.423965,0.425301,0.429033,0.103119,0.556842,0.061871,0.474347,19.941406,16.284180,252.500000,-1.000000,2.007645
73,2026-03-19,16:37:29.520,5.172607,5.172966,5.172700,0.423965,0.425301,0.429019,0.525906,0.216550,0.391852,0.154678,19.960938,16.293945,249.875000,-1.000000,1.997184
74,2026-03-19,16:37:29.522,5.172607,5.172966,5.172632,0.423965,0.425301,0.429016,0.154678,0.422787,0.144366,0.360916,19.941406,16.284180,252.312500,-1.000000,2.002410
75,2026-03-19,16:37:29.524,5.172607,5.172966,5.172612,0.423965,0.425301,0.429036,0.113431,0.525906,0.113431,0.422787,19.936523,16.284180,251.687500,-1.000000,1.993720
76,2026-03-19,16:37:29.526,5.172607,5.172966,5.172575,0.423965,0.425301,0.428989,0.051559,0.598090,0.010312,0.474347,19.946289,16.298828,253.937500,-1.000000,1.995955
77,2026-03-19,16:37:29.528,5.172607,5.172966,5.172767,0.423965,0.425301,0.428979,0.020624,0.690897,0.000000,0.546530,19.912109,16.250000,252.000000,-1.000000,2.000533
78,2026-03-19,16:37:29.530,5.172607,5.172966,5.172663,0.423965,0.425301,0.428996,0.226862,0.350604,0.175302,0.288733,19.926758,16.259766,254.562500,-1.000000,1.998278
79,2026-03-19,16:37:29.532,5.172607,5.172966,5.172568,0.423965,0.425301,0.428989,0.092807,0.505283,0.092807,0.402164,19.931641,16.264648,252.250000,-1.000000,2.000233
80,2026-03-19,16:37:29.534,5.172607,5.172966,5.172554,0.423965,0.425301,0.429013,0.000000,0.639337,0.020624,0.567154,19.907227,16.240234,252.500000,-1.000000,2.003268
81,2026-03-19,16:37:29.536,5.172607,5.172966,5.172453,0.423965,0.425301,0.429009,0.000000,0.670273,-0.020624,0.577466,19.956055,16.279297,250.125000,-1.000000,1.996389
82,2026-03-19,16:37:29.538,5.172607,5.172966,5.172517,0.423965,0.425301,0.429003,-0.164990,0.845575,-0.103119,0.721832,19.956055,16.259766,252.187500,-1.000000,1.999014
83,2026-03-19,16:37:29.540,5.172607,5.172966,5.172561,0.423965,0.425301,0.428979,-0.103119,0.814639,-0.103119,0.598090,19.956055,16.269531,249.937500,-1.000000,2.000033
84,2026-03-19,16:37:29.542,5.172607,5.172966,5.172470,0.423965,0.425301,0.429043,-0.072183,0.680585,-0.061871,0.556842,19.916992,16.245117,252.437500,-1.000000,1.999264
85,2026-03-19,16:37:29.544,5.172607,5.172966,5.172423,0.423965,0.425301,0.429026,-0.278421,0.897134,-0.195926,0.690897,19.990234,16.308594,252.062500,-1.000000,1.996798
86,2026-03-19,16:37:29.546,5.172607,5.172966,5.172426,0.423965,0.425301,0.429016,-0.278421,0.938382,-0.247485,0.783704,19.970703,16.274414,254.500000,-1.000000,2.000638
87,2026-03-19,16:37:29.548,5.172607,5.172958,5.172470,0.423965,0.425301,0.429036,-0.237173,0.876511,-0.247485,0.721832,19.960938,16.284180,252.000000,-1.000000,1.997792
88,2026-03-19,16:37:29.550,5.172607,5.172958,5.172392,0.423965,0.425301,0.429026,-0.164990,0.886822,-0.154678,0.690897,19.980469,16.298828,254.750000,-1.000000,2.001817
